AssignmentStatus,Input.document,Input.case,Answer.answer,Answer.case
Approved,"<p>The Barack Obama family tree includes an African-American father from Kenya and a Caucasian mother from Kansas. His parents separated when Obama was just two years old, and Obama only recalls seeing his father only once in Hawaii in 1971.</p>",0,"The Barack Obama family tree incorporates an African-American father from Kenya and a Caucasian mother from Kansas.His folks separated when Obama was only two years of age,and Obama just remember his father only once at Hawaii in 1971.",0
Approved,"<p>The Barack Obama family tree includes an African-American father from Kenya and a Caucasian mother from Kansas. His parents separated when Obama was just two years old, and Obama only recalls seeing his father only once in Hawaii in 1971.</p>",0,"Obama's family tree is composed of a black father from Kenya and a white mother from Kansas. They were divorced when he was a toddler, and the President only remembers ever seeing his dad a single time.",0
Approved,<p>This book takes a look at the fascinating and diverse family history of Barack Obama. Readers will learn about his Kansas-born mother and his father who was from Kenya.</p>,1,"it's a book that explores Barack Obama's family history, including how his mother from Kansas and his Kenyan-born father came together.",1
Approved,<p>This book takes a look at the fascinating and diverse family history of Barack Obama. Readers will learn about his Kansas-born mother and his father who was from Kenya.</p>,1,"This novel tells about the complex family history of Barack Obama. You will learn all about his mother, who was born in Kansas and his father who was born in Kenya.",1
Approved,"<p>It opens with a discussion of family trees in general and provides a full-spread chart illustrating Obama's nuclear and extended family, with a thumbnail black-and-white or color photo for many of its members.</p>",2,"Obama's immediate and extended family shown using a family tree, which is a graphical way of illustrating a persons heritage. The use of accompanying small photographs of family members brings the information to life.",2
Approved,"<p>It opens with a discussion of family trees in general and provides a full-spread chart illustrating Obama's nuclear and extended family, with a thumbnail black-and-white or color photo for many of its members.</p>",2,"First we see a discussion of geneaology, along with visuals of the Obama lineage which include little pictures of ancestors.",2
Approved,"<p>Adjacent to the French Lick Resort Hotel, this 51,000-square-foot Vegas-style gaming facility features over 1,100 slot machines, a high-limit gaming area with VIP lounge, 40 table games and more.</p>",3,"The French Lick Resort Hotel offers a Vegas-style casino.  Spread over 51,000 square feet, there are over 1,100 slot machines, 40 table games and a VIP lounge with a high-limit gaming area available.",3
Approved,"<p>Adjacent to the French Lick Resort Hotel, this 51,000-square-foot Vegas-style gaming facility features over 1,100 slot machines, a high-limit gaming area with VIP lounge, 40 table games and more.</p>",3,"The 51,000 square foot Vegas-style gaming facility located next to the French Lick Resort hotel offers a VIP lounge with high limits, more than 1,100 slots, 40 game tables, and so much more!",3
Approved,"<p>French Lick Resort is a Casino in French Lick, Indiana and is open daily 24 hours. The casino's 51,000 square foot gaming space features 1,005 gaming machines and forty-two table and poker games.</p>",4,"The casino French Lick Resort is located in Indiana. Opened 24 hours offering 1,005 gaming machines and 42 table poker games over 51,000 square foot of land.",4
Approved,"<p>French Lick Resort is a Casino in French Lick, Indiana and is open daily 24 hours. The casino's 51,000 square foot gaming space features 1,005 gaming machines and forty-two table and poker games.</p>",4,"Gamblers can go all day and all night at the French Lick Resort in French Lick, Indiana.  There are 1,005 gaming machines and 42 table and poker games spread across 51,000 square feet in the casino, open 24 hours a day.",4
Approved,"<p>French Lick Resorts & Casino, LLC owns and operates a resort. The company’s amenities include hotels, golf courses, a casino, spas, restaurants, beverage venues, and retail shops.</p>",5,"French Lick Resorts & Casino. LLC runs and operates a resort. The resort types includes a casinos, hotels, golf courses, spas, restaurants, retail shops, and beverage venues.",5
Approved,"<p>French Lick Resorts & Casino, LLC owns and operates a resort. The company’s amenities include hotels, golf courses, a casino, spas, restaurants, beverage venues, and retail shops.</p>",5,"A resort is owned and operated by French Lick Resorts & Casino, LLC. At the resort, there are several hotels, a casino, spas for relaxation, restaurants, gold courses, areas to buy and enjoy beverages, and shopping.",5
Approved,<p>Want a clean home? An efficient office? Get organized with adult ADHD thanks to organizing guru Judith Kolberg and her 33 top strategies for work and home.</p>,6,Judith Kolberg shows many strategies to utilize your adult ADHD for work and home. There are a total of 33 strategies.,6
Approved,<p>Want a clean home? An efficient office? Get organized with adult ADHD thanks to organizing guru Judith Kolberg and her 33 top strategies for work and home.</p>,6,do you want a neat and tidy home? A productive office? Now get organized and help your adult ADHD with organizing guru Judith Kolberg . She has 33 top strategies for efficient work and home .,6
Approved,"<p>Keeping items out of sight when they’re out of rotation is no one-size-fits-all proposition. Here, 10 self-contained solutions to meet the needs of all sorts of homes, whether you have a spacious attic or just a spare corner.</p>",7,"Whether you have a spacious attic or just a spare corner, here are 10 self-contained solutions ideas to keep items that are out of rotation out of sight.",7
Approved,"<p>Keeping items out of sight when they’re out of rotation is no one-size-fits-all proposition. Here, 10 self-contained solutions to meet the needs of all sorts of homes, whether you have a spacious attic or just a spare corner.</p>",7,"Keeping items beyond anyone's ability to see when they're out of pivot is nobody's measure to fit all recommendation.Here ten independent answers to address the issue of a wide range homes, regardless of whether you have an extensive upper room or only an extra corner.",7
Approved,"<p>Organizing your home can be tricky, especially since it's an ongoing endeavor. If you're at the point where you need to call a timeout and reset, these nine secrets will help you refocus, declutter, organize, and make an organized home a reality.</p>",8,"Inside the home, placing everything tightly can be difficult. When trying to focus during cleanup, take a break. Nine secrets are available to guide you to gain focus in being able to organize your home.",8
Approved,"<p>Organizing your home can be tricky, especially since it's an ongoing endeavor. If you're at the point where you need to call a timeout and reset, these nine secrets will help you refocus, declutter, organize, and make an organized home a reality.</p>",8,"Organizing your home can be tough because it is a constant endeavor.  If you are frustrated, these 9 secrets will help you focus, declutter, and organize your home.",8
Approved,<p>This is the layout of the small town where Anna Beck found the toilet. The great hall is in black; it was rebuilt five times during the town's lifetime.</p>,9,The great hall where Anna Beck found the toilet is black. It's located in a small town that has been rebuilt five times.,9
Approved,<p>This is the layout of the small town where Anna Beck found the toilet. The great hall is in black; it was rebuilt five times during the town's lifetime.</p>,9,"This is the format of the residential community where Anna Beck found the restroom.The considerable lobby is in dark,it was rebuilt five times during the town's lifetime.",9
